file, rmsd_other_than_H
/Users/kairi/Desktop/2021_12_17_DNAPhysBasisUV/data/DNA_B_Handbook1999_duplex/AAA/min_igb_1_step_500_optimize_all_atoms.pdb,0.394493
/Users/kairi/Desktop/2021_12_17_DNAPhysBasisUV/data/DNA_B_Handbook1999_duplex/AAT/min_igb_1_step_500_optimize_all_atoms.pdb,0.435484
/Users/kairi/Desktop/2021_12_17_DNAPhysBasisUV/data/DNA_B_Handbook1999_duplex/AAG/min_igb_1_step_500_optimize_all_atoms.pdb,0.370877
/Users/kairi/Desktop/2021_12_17_DNAPhysBasisUV/data/DNA_B_Handbook1999_duplex/AAC/min_igb_1_step_500_optimize_all_atoms.pdb,0.375805
/Users/kairi/Desktop/2021_12_17_DNAPhysBasisUV/data/DNA_B_Handbook1999_duplex/ATA/min_igb_1_step_500_optimize_all_atoms.pdb,0.420158
/Users/kairi/Desktop/2021_12_17_DNAPhysBasisUV/data/DNA_B_Handbook1999_duplex/ATG/min_igb_1_step_500_optimize_all_atoms.pdb,0.399823
/Users/kairi/Desktop/2021_12_17_DNAPhysBasisUV/data/DNA_B_Handbook1999_duplex/ATC/min_igb_1_step_500_optimize_all_atoms.pdb,0.401722
/Users/kairi/Desktop/2021_12_17_DNAPhysBasisUV/data/DNA_B_Handbook1999_duplex/AGA/min_igb_1_step_500_optimize_all_atoms.pdb,0.380445
/Users/kairi/Desktop/2021_12_17_DNAPhysBasisUV/data/DNA_B_Handbook1999_duplex/AGT/min_igb_1_step_500_optimize_all_atoms.pdb,0.383424
/Users/kairi/Desktop/2021_12_17_DNAPhysBasisUV/data/DNA_B_Handbook1999_duplex/AGG/min_igb_1_step_500_optimize_all_atoms.pdb,0.374103
/Users/kairi/Desktop/2021_12_17_DNAPhysBasisUV/data/DNA_B_Handbook1999_duplex/AGC/min_igb_1_step_500_optimize_all_atoms.pdb,0.387631
/Users/kairi/Desktop/2021_12_17_DNAPhysBasisUV/data/DNA_B_Handbook1999_duplex/ACA/min_igb_1_step_500_optimize_all_atoms.pdb,0.427666
/Users/kairi/Desktop/2021_12_17_DNAPhysBasisUV/data/DNA_B_Handbook1999_duplex/ACG/min_igb_1_step_500_optimize_all_atoms.pdb,0.365050
/Users/kairi/Desktop/2021_12_17_DNAPhysBasisUV/data/DNA_B_Handbook1999_duplex/ACC/min_igb_1_step_500_optimize_all_atoms.pdb,0.352832
/Users/kairi/Desktop/2021_12_17_DNAPhysBasisUV/data/DNA_B_Handbook1999_duplex/TAA/min_igb_1_step_500_optimize_all_atoms.pdb,0.365157
/Users/kairi/Desktop/2021_12_17_DNAPhysBasisUV/data/DNA_B_Handbook1999_duplex/TAG/min_igb_1_step_500_optimize_all_atoms.pdb,0.346487
/Users/kairi/Desktop/2021_12_17_DNAPhysBasisUV/data/DNA_B_Handbook1999_duplex/TAC/min_igb_1_step_500_optimize_all_atoms.pdb,0.351894
/Users/kairi/Desktop/2021_12_17_DNAPhysBasisUV/data/DNA_B_Handbook1999_duplex/TTG/min_igb_1_step_500_optimize_all_atoms.pdb,0.353588
/Users/kairi/Desktop/2021_12_17_DNAPhysBasisUV/data/DNA_B_Handbook1999_duplex/TTC/min_igb_1_step_500_optimize_all_atoms.pdb,0.329092
/Users/kairi/Desktop/2021_12_17_DNAPhysBasisUV/data/DNA_B_Handbook1999_duplex/TGA/min_igb_1_step_500_optimize_all_atoms.pdb,0.328034
/Users/kairi/Desktop/2021_12_17_DNAPhysBasisUV/data/DNA_B_Handbook1999_duplex/TGG/min_igb_1_step_500_optimize_all_atoms.pdb,0.320260
/Users/kairi/Desktop/2021_12_17_DNAPhysBasisUV/data/DNA_B_Handbook1999_duplex/TGC/min_igb_1_step_500_optimize_all_atoms.pdb,0.316410
/Users/kairi/Desktop/2021_12_17_DNAPhysBasisUV/data/DNA_B_Handbook1999_duplex/TCG/min_igb_1_step_500_optimize_all_atoms.pdb,0.341310
/Users/kairi/Desktop/2021_12_17_DNAPhysBasisUV/data/DNA_B_Handbook1999_duplex/TCC/min_igb_1_step_500_optimize_all_atoms.pdb,0.322390
/Users/kairi/Desktop/2021_12_17_DNAPhysBasisUV/data/DNA_B_Handbook1999_duplex/GAG/min_igb_1_step_500_optimize_all_atoms.pdb,0.340500
/Users/kairi/Desktop/2021_12_17_DNAPhysBasisUV/data/DNA_B_Handbook1999_duplex/GAC/min_igb_1_step_500_optimize_all_atoms.pdb,0.343570
/Users/kairi/Desktop/2021_12_17_DNAPhysBasisUV/data/DNA_B_Handbook1999_duplex/GTG/min_igb_1_step_500_optimize_all_atoms.pdb,0.384144
/Users/kairi/Desktop/2021_12_17_DNAPhysBasisUV/data/DNA_B_Handbook1999_duplex/GGG/min_igb_1_step_500_optimize_all_atoms.pdb,0.312546
/Users/kairi/Desktop/2021_12_17_DNAPhysBasisUV/data/DNA_B_Handbook1999_duplex/GGC/min_igb_1_step_500_optimize_all_atoms.pdb,0.316431
/Users/kairi/Desktop/2021_12_17_DNAPhysBasisUV/data/DNA_B_Handbook1999_duplex/GCG/min_igb_1_step_500_optimize_all_atoms.pdb,0.330242
/Users/kairi/Desktop/2021_12_17_DNAPhysBasisUV/data/DNA_B_Handbook1999_duplex/CAG/min_igb_1_step_500_optimize_all_atoms.pdb,0.367216
/Users/kairi/Desktop/2021_12_17_DNAPhysBasisUV/data/DNA_B_Handbook1999_duplex/CGG/min_igb_1_step_500_optimize_all_atoms.pdb,0.322171
